epoch,train_loss,validation_loss
1,0.9639513089,0.1621501107
2,0.1409686011,0.1099400874
3,0.0927955051,0.1053401501
4,0.0892709353,0.1046979086
5,0.0889284070,0.1045012304
6,0.0888215581,0.1043798615
7,0.0887327302,0.1042759714
8,0.0886456806,0.1041769720
9,0.0885591903,0.1040796567
10,0.0884731641,0.1039831624
11,0.0883875914,0.1038872511
12,0.0883024677,0.1037918544
13,0.0882177890,0.1036969508
14,0.0881335514,0.1036025313
15,0.0880497512,0.1035085906
16,0.0879663844,0.1034151242
17,0.0878834475,0.1033221280
18,0.0878009366,0.1032295982
19,0.0877188481,0.1031375309
20,0.0876371784,0.1030459221
21,0.0875559240,0.1029547680
22,0.0874750812,0.1028640650
23,0.0873946466,0.1027738092
24,0.0873146166,0.1026839971
25,0.0872349880,0.1025946249
26,0.0871557572,0.1025056890
27,0.0870769210,0.1024171859
28,0.0869984759,0.1023291120
29,0.0869204188,0.1022414639
30,0.0868427464,0.1021542380
31,0.0867654555,0.1020674310
32,0.0866885428,0.1019810394
33,0.0866120053,0.1018950600
34,0.0865358399,0.1018094893
35,0.0864600434,0.1017243242
36,0.0863846129,0.1016395613
37,0.0863095452,0.1015551974
38,0.0862348375,0.1014712294
39,0.0861604869,0.1013876542
40,0.0860864902,0.1013044684
41,0.0860128448,0.1012216692
42,0.0859395477,0.1011392535
43,0.0858665961,0.1010572181
44,0.0857939873,0.1009755602
45,0.0857217184,0.1008942767
46,0.0856497867,0.1008133648
47,0.0855781895,0.1007328214
48,0.0855069242,0.1006526438
49,0.0854359880,0.1005728291
50,0.0853653784,0.1004933745
51,0.0852950927,0.1004142772
52,0.0852251284,0.1003355344
53,0.0851554829,0.1002571434
54,0.0850861538,0.1001791014
55,0.0850171385,0.1001014059
56,0.0849484346,0.1000240541
57,0.0848800395,0.0999470434
58,0.0848119510,0.0998703713
59,0.0847441666,0.0997940351
60,0.0846766839,0.0997180323
61,0.0846095007,0.0996423603
62,0.0845426145,0.0995670167
63,0.0844760231,0.0994919990
64,0.0844097242,0.0994173047
65,0.0843437156,0.0993429313
66,0.0842779950,0.0992688766
67,0.0842125602,0.0991951381
68,0.0841474091,0.0991217135
69,0.0840825394,0.0990486003
70,0.0840179492,0.0989757964
71,0.0839536361,0.0989032993
72,0.0838895982,0.0988311069
73,0.0838258333,0.0987592169
74,0.0837623394,0.0986876270
75,0.0836991145,0.0986163351
76,0.0836361565,0.0985453389
77,0.0835734635,0.0984746363
78,0.0835110335,0.0984042252
79,0.0834488645,0.0983341034
80,0.0833869545,0.0982642689
81,0.0833253018,0.0981947195
82,0.0832639043,0.0981254532
83,0.0832027602,0.0980564679
84,0.0831418676,0.0979877616
85,0.0830812247,0.0979193323
86,0.0830208297,0.0978511780
87,0.0829606807,0.0977832968
88,0.0829007760,0.0977156867
89,0.0828411137,0.0976483457
