dimension,error
2,1.2969968109234724
3,1.0978257500242201
4,1.0635080761849476
5,0.8874267750383368
6,0.8856264249297107
7,0.8827662536562455
8,0.826952885842912
9,0.8153302031143259
10,0.7550381380114639
11,0.7066706456438056
12,0.6883701960143291
13,0.6536771802021866
14,0.6422122382476406
15,0.6413293498598013
16,0.615686002422674
17,0.5733819703691745
18,0.53710594250481
19,0.5370873172974373
20,0.524744555767116
21,0.4992587691572186
22,0.4678533371605165
23,0.4640113224221646
24,0.4502614212664536
25,0.4487537295484803
26,0.4428358519221278
27,0.4105274583152445
28,0.34891859332274017
29,0.27942840337020425
30,0.0
